City,State,State Name,Water Utility,Hardness (mg/L CaCO3),Hardness Class,Infrastructure Class,Winter Risk,Avg Winter Temp (F),Climate,Pipe Material,Pipe Era,Sewer System,Soil Type,Dominant Failure,Risk Score,Risk Class
"El Paso",TX,"Texas","El Paso Water Utilities",175,"Hard",mixed,med,36,"hot desert","copper and galvanized steel in older homes, PEX in post-2000 builds","1960s–1990s across most residential areas","El Paso Water Utilities combined system — aging clay collectors in older east-side neighborhoods","caliche hardpan and desert alluvium — highly alkaline, accelerates metal pipe corrosion","hard water scale blockages in water heaters and supply lines from Rio Grande source water",7,Elevated
"Memphis",TN,"Tennessee","Memphis Light, Gas and Water (MLGW)",48,"Soft",aging,med,33,"humid subtropical","cast iron and galvanized steel in older neighborhoods, PVC in newer suburban builds","1920s–1960s in Midtown and South Memphis, 1970s–1990s in suburbs","Memphis-Shelby County sewer — predominantly clay pipe in older neighborhoods with ongoing replacement program","Mississippi River alluvial loam and clay — high water table in low-lying areas, aggressive toward buried iron pipe","root infiltration into aging clay sewer laterals and corroded galvanized supply lines in pre-1960 homes",6,Elevated
"Louisville",KY,"Kentucky","Louisville Water Company",120,"Moderately Hard",aging,high,28,"humid subtropical","galvanized steel and cast iron in Victorian-era neighborhoods, copper in mid-century builds","1900s–1950s in Old Louisville and Germantown, 1960s–1990s in East End suburbs","MSD (Metropolitan Sewer District) — combined sewer overflow system with ongoing $800M tunnel project","Ohio River valley clay and loam — frost penetrates 18–24 inches, moderate soil movement seasonally","frozen pipes in uninsulated Victorian-era crawl spaces and galvanized supply line corrosion in pre-1950 homes",8,High
"Baltimore",MD,"Maryland","Baltimore City Department of Public Works",103,"Moderately Hard",aging,high,29,"humid subtropical","lead service lines still present in pre-1950 homes, cast iron and galvanized in rowhouse stock","1880s–1940s in rowhouse neighborhoods, 1960s–1990s in suburban areas","Back River and Patapsco Neck WWTP — 1,100 miles of sewer pipe, significant volume from pre-1900 combined sewer","Piedmont clay and urban fill — variable compaction in older neighborhoods creates pipe joint stress","failing clay sewer laterals and lead/galvanized service line replacement in pre-1950 rowhouse neighborhoods",8,High
"Milwaukee",WI,"Wisconsin","Milwaukee Water Works",127,"Hard",aging,high,17,"humid continental","galvanized steel service lines in older areas, cast iron drain stacks throughout pre-1960 stock","1900s–1950s in near north and south side, 1960s–1980s in outer neighborhoods","Milwaukee Metropolitan Sewerage District — combined sewer with Deep Tunnel system, ongoing overflow issues","glacial lake clay and outwash gravel — frost penetrates 36–48 inches in severe winters","frozen and burst pipes in uninsulated spaces during sustained sub-zero cold snaps",9,High
"Portland",OR,"Oregon","Portland Water Bureau",11,"Soft",mixed,low,40,"oceanic","galvanized steel in Craftsman-era homes, copper in mid-century builds, PEX in post-2000","1900s–1940s in inner SE and NE Portland, 1950s–1980s in outer neighborhoods","Bureau of Environmental Services — combined sewer with CSO reduction program, high wet-season overflow risk","Willamette Valley clay and volcanic basalt — high groundwater table in low-lying east Portland neighborhoods","sump pump failures during the November–March rainy season and corroded galvanized in Craftsman-era homes",4,Moderate
"Las Vegas",NV,"Nevada","Las Vegas Valley Water District (LVVWD)",278,"Very Hard",mixed,low,47,"hot desert","CPVC and PEX dominant, copper in custom builds, galvanized in pre-1980 commercial properties","1970s–1990s in established neighborhoods, 2000s–2020s in master-planned communities","Clark County Water Reclamation District — modern regional system with advanced treatment for Colorado River return","desert alluvium and caliche — highly alkaline, minimal soil movement but aggressive toward unprotected metal pipe","extreme hard water scale buildup in water heaters and supply lines, and heat-related CPVC fitting failures",7,Elevated
"Oklahoma City",OK,"Oklahoma","Oklahoma City Water Utilities",96,"Moderately Hard",mixed,high,30,"humid subtropical","copper supply lines in older homes, PVC and PEX in post-1990 builds","1950s–1980s across most of the metro","Oklahoma City Utilities Department — aging clay sewer laterals in pre-1970 neighborhoods, separated system in newer areas","Oklahoma red clay and shale — severe shrink-swell behavior, one of the most damaging soils for residential plumbing","burst pipes during ice storm events and slab foundation movement from expansive red clay soil",7,Elevated
"Albuquerque",NM,"New Mexico","Albuquerque Bernalillo County Water Utility Authority",152,"Hard",mixed,med,29,"semi-arid","copper and galvanized in central neighborhoods, PEX and CPVC in post-1990 Westside builds","1950s–1980s in established neighborhoods, 1990s–2010s in Westside expansion","City of Albuquerque Wastewater Management — separated system in most areas, aging infrastructure in Old Town and Barelas","Rio Grande alluvium and caliche — variable compaction, extreme alkalinity accelerates galvanized corrosion","water heater sediment buildup from moderately hard water and freeze events in higher-elevation neighborhoods above 6,000 feet",7,Elevated
"Tucson",AZ,"Arizona","Tucson Water",344,"Very Hard",mixed,low,46,"hot desert","CPVC and PEX dominant, copper in custom homes, galvanized steel in pre-1970 properties","1950s–1980s in central Tucson, 1990s–2020s in expanding Eastside and Oro Valley","Pima County Regional Wastewater Reclamation — modern system with reclaimed water network for irrigation","caliche hardpan over desert alluvium — impenetrable layer 1–4 feet below surface complicates pipe repair access","extreme hard water scale in water heaters and supply lines — among the highest calcium carbonate levels of any US metro",7,Elevated
"Atlanta",GA,"Georgia","Atlanta Department of Watershed Management",58,"Soft",mixed,med,34,"humid subtropical","copper supply lines in established neighborhoods, PEX and CPVC in post-2000 builds","1950s–1980s in Buckhead and Decatur, 1990s–2020s in rapidly expanding suburbs","Atlanta Department of Watershed Management — combined sewer in older neighborhoods, $4B sewer improvement program ongoing","Georgia red clay (Cecil clay) — highly expansive, significant seasonal soil movement in established neighborhoods","clay sewer lateral root infiltration and freeze events catching homeowners unprepared in a historically mild climate",5,Moderate
"Kansas City",MO,"Missouri","Kansas City Water Services",161,"Hard",aging,high,24,"humid continental","cast iron and galvanized steel in historic neighborhoods, copper in mid-century builds","1900s–1950s in Midtown and Westport, 1960s–1990s in outlying areas","Kansas City Water Services — combined sewer overflow system with long-term control plan, significant aging clay infrastructure","glacial till and loess over shale — moderate frost penetration, expansive Missouri River clay in flood-plain neighborhoods","frozen pipes in uninsulated older homes and galvanized supply line corrosion in pre-1960 Midtown properties",9,High
"Omaha",NE,"Nebraska","Metropolitan Utilities District (MUD)",204,"Very Hard",aging,high,19,"humid continental","galvanized steel and cast iron in pre-1960 neighborhoods, copper in mid-century builds","1900s–1950s in midtown and south Omaha, 1960s–1980s in Westside suburbs","Metropolitan Utilities District — combined sewer with long-term control plan, aging brick and clay mains in downtown","Missouri River loess and alluvial clay — deep frost penetration up to 36 inches, soil swells significantly when saturated","frozen pipes in crawl spaces and galvanized supply corrosion in midtown's aging pre-1950 housing stock",10,High
"Raleigh",NC,"North Carolina","City of Raleigh Public Utilities",74,"Moderately Hard",mixed,med,32,"humid subtropical","CPVC and PVC dominant in builder-grade homes, PEX in post-2010 new construction","1970s–1990s in established neighborhoods, 2000s–2020s in rapidly growing suburbs","City of Raleigh Public Utilities — rapidly expanding modern system, but older Clay County infrastructure in inner neighborhoods","Piedmont red clay (Enon series) — seasonal shrink-swell behavior, challenging for buried drain lateral integrity","CPVC pipe degradation in fast-built homes from the 1990s growth era and freeze events in thin-walled suburban construction",6,Elevated
"Minneapolis",MN,"Minnesota","Minneapolis Water Works",155,"Hard",aging,high,9,"humid continental","galvanized steel and cast iron in historic housing stock, copper in post-WWII builds","1900s–1950s in South Minneapolis and Northeast, 1960s–1980s in outer neighborhoods","Metropolitan Council Environmental Services — separate sanitary sewer in most areas, combined in oldest downtown core","glacial till and lacustrine clay — ground frost penetrates 48–60 inches in severe winters, among the deepest in the US","frozen and burst pipes during extended polar vortex events — the most severe freeze risk of any major US metro",9,High
"Virginia Beach",VA,"Virginia","Virginia Beach Department of Public Utilities",116,"Moderately Hard",mixed,med,35,"humid subtropical","copper dominant in coastal neighborhoods, PVC and PEX in post-1990 builds","1960s–1990s in oceanfront and established neighborhoods, 2000s in western expansion areas","Hampton Roads Sanitation District — regional system serving coastal Virginia, modern tertiary treatment","Tidewater sandy loam and coastal marsh clay — high water table in low-lying areas, poor pipe bedding in sandy zones","coastal salt air corrosion on copper fittings and water heater failures from hard water in oceanfront properties",6,Elevated
"New Orleans",LA,"Louisiana","Sewerage and Water Board of New Orleans",92,"Moderately Hard",aging,low,51,"humid subtropical","cast iron and galvanized steel in historic neighborhoods, mixed in post-Katrina rebuilds","1880s–1940s in the French Quarter and Uptown, 1950s–1990s in Lakeview and Gentilly","Sewerage and Water Board — 100-year-old system, frequently cited for main breaks and overflows, major rehabilitation ongoing","Mississippi River deltaic alluvium and marsh clay — entire city is below sea level, extreme soil saturation year-round","corroded cast iron drain stacks in historic shotgun and Creole cottage homes, and Sewerage and Water Board main failures",6,Elevated
"Tampa",FL,"Florida","Tampa Water Department",248,"Very Hard",mixed,low,54,"humid subtropical","CPVC and copper in established neighborhoods, PEX in post-2000 new builds","1960s–1990s across most of the city, 2000s–2020s in suburban growth areas","City of Tampa Wastewater Department — modern collection system with reclaimed water program, but aging terracotta in historic areas","sandy coastal plain and limestone karst — sinkhole risk in parts of Hillsborough County, minimal frost depth","hard water scale buildup in water heaters and CPVC degradation in the city's large inventory of 1980s builder-grade homes",7,Elevated
"St. Louis",MO,"Missouri","Missouri American Water Company",138,"Hard",aging,high,24,"humid continental","lead service lines in pre-1950 brick rowhouses, cast iron and galvanized in historic neighborhoods","1880s–1940s in The Hill and Soulard, 1950s–1980s in south and west suburbs","MSD Project Clear — combined sewer overflow system under $4.7B federal consent decree for remediation","Missouri River alluvial clay and loess — frost penetrates 24–30 inches, significant expansion in saturated conditions","lead and galvanized service line failures in historic rowhouse neighborhoods and frozen pipes during polar vortex events",9,High
"Richmond",VA,"Virginia","Richmond Department of Public Utilities",84,"Moderately Hard",aging,med,31,"humid subtropical","lead and galvanized in Victorian Fan District homes, copper in mid-century builds, PEX in post-2000","1880s–1940s in Church Hill and the Fan District, 1960s–1990s in Southside suburbs","Richmond Department of Public Utilities — combined sewer overflow in older neighborhoods, Shockoe Bottom historically flood-prone","Piedmont clay and James River flood plain alluvium — moderate frost depth, seasonal clay movement","galvanized supply line replacement in the Fan District's late Victorian housing and freeze events in under-insulated crawl spaces",7,Elevated
"Sacramento",CA,"California","Sacramento City Utilities and Sacramento Suburban Water District",67,"Moderately Hard",mixed,low,44,"Mediterranean","copper in post-WWII homes, PVC and PEX in newer suburban construction","1940s–1970s in midtown and east Sacramento, 1980s–2010s in Elk Grove and Natomas","Sacramento Regional County Sanitation District — modern regional system, but older clay and vitrified pipe in central Sacramento neighborhoods","Sacramento Valley alluvial clay and river terrace deposits — moderate seasonal swelling, high water table in low-lying Natomas area","water heater sediment from variable Sacramento River and groundwater source blending, and irrigation system failures during summer heat waves",5,Moderate
"Mesa",AZ,"Arizona","Mesa Water Resources Division",250,"Very Hard",mixed,low,52,"hot desert","CPVC and copper in older neighborhoods, PEX dominant in post-2000 master-planned communities","1970s–1990s in central Mesa, 2000s–2020s in eastside and southeast expansion","City of Mesa Environmental Management — modern gravity sewer, regional treatment at 91st Avenue facility","desert alluvium and caliche — highly alkaline, minimal soil movement in dry conditions, aggressive toward exposed metal connections","extreme hard water scale in water heaters and CPVC thermal degradation — identical failure profile to Phoenix due to shared SRP water supply",7,Elevated
"Fresno",CA,"California","Fresno Department of Public Utilities",244,"Very Hard",mixed,low,42,"hot semi-arid","copper and galvanized in older central neighborhoods, PVC and PEX in suburban builds","1950s–1980s in Tower District and central Fresno, 1990s–2020s in expanding suburbs","City of Fresno Municipal Utilities — separate sewer system, older vitrified clay pipe in central districts","San Joaquin Valley alluvial clay and hardpan — significant shrink-swell during drought and rain cycles, widespread subsidence from groundwater pumping","hard water scale accumulation in water heaters from Sierra Nevada snowmelt and Kings River source water, and irrigation system failures during drought years",7,Elevated
"Long Beach",CA,"California","Long Beach Water Department",308,"Very Hard",mixed,low,56,"Mediterranean","copper in post-WWII residential builds, cast iron in commercial and multi-family","1940s–1970s in downtown and Signal Hill, 1980s–2000s in East Long Beach","City of Long Beach Public Works — modern separate system, LA County sanitation for large portions of east side","coastal alluvial sand and clay, oil field subsidence zones in Signal Hill — significant historical ground movement from oil extraction","coastal salt air pitting corrosion on copper lines and hard water scale in water heaters from Colorado River and groundwater blend",7,Elevated
"Colorado Springs",CO,"Colorado","Colorado Springs Utilities",59,"Soft",mixed,high,22,"semi-arid","copper in older residential areas, PEX dominant in post-2000 construction","1950s–1980s in Old Colorado City and Broadmoor, 2000s–2020s in expanding northeast","Colorado Springs Utilities — modern separate sewer system, regional treatment at RFRHA facility","Pierre Shale and bentonite clay on eastern side, granite and gneiss on west — significant bentonite shrink-swell behavior","frozen pipe bursts during rapid overnight temperature drops and high-altitude UV degradation of exposed plastic plumbing components",6,Elevated
"Cleveland",OH,"Ohio","Cleveland Division of Water",121,"Hard",aging,high,23,"humid continental","galvanized steel and lead service lines in older neighborhoods, cast iron drain stacks in pre-1960 homes","1900s–1950s in West Side and East Side neighborhoods, 1960s–1980s in suburbs","Northeast Ohio Regional Sewer District (NEORSD) — combined sewer with $3B Project Clean Lake federal consent decree","glacial till and lacustrine clay from ancient Lake Erie bed — frost penetrates 36–48 inches, highly saturated in spring thaw","galvanized supply line corrosion and frozen pipes during lake-effect cold snaps — Cleveland is in the top 5 US cities for winter freeze pipe events",9,High
"Pittsburgh",PA,"Pennsylvania","Pittsburgh Water and Sewer Authority (PWSA)",116,"Moderately Hard",aging,high,26,"humid continental","lead service lines in pre-1950 properties, galvanized and cast iron in working-class rowhouses","1880s–1940s in Lawrenceville and the South Side, 1950s–1990s in suburban boroughs","Allegheny County Sanitation Authority (ALCOSAN) — combined sewer serving 83 municipalities under federal consent decree","Allegheny Plateau shale and clay — steep terrain causes soil erosion and pipe movement in hillside neighborhoods","lead service line replacement and drain backups in steep-terrain neighborhoods with aging combined sewer infrastructure",8,High
"Cincinnati",OH,"Ohio","Greater Cincinnati Water Works",149,"Hard",aging,high,27,"humid continental","galvanized steel and cast iron in historic Over-The-Rhine neighborhood, copper in mid-century builds","1890s–1940s in Over-The-Rhine and Westwood, 1950s–1980s in suburban townships","Metropolitan Sewer District of Greater Cincinnati — combined sewer overflow system under $3.2B consent decree","Ohio River valley clay and glacial till — frost penetrates 24–30 inches, moderate seasonal clay expansion","galvanized steel supply line failure in the historic Over-The-Rhine and Westwood rowhouse neighborhoods and freeze events in uninsulated crawl spaces",9,High
"Detroit",MI,"Michigan","Great Lakes Water Authority (GLWA)",143,"Hard",aging,high,22,"humid continental","lead service lines still present in an estimated 100,000 properties, galvanized and cast iron throughout pre-1960 housing stock","1900s–1950s across most of the city, 1960s–1980s in outer neighborhoods","Great Lakes Water Authority — combined sewer with $1.5B GLWA consent decree, significant aging infrastructure from early 1900s","glacial lake clay and outwash deposits — frost penetrates 36–42 inches, high moisture retention year-round near Great Lakes","lead service line replacement — Detroit has one of the largest active lead pipe replacement programs in the US — and frozen pipes during extended polar vortex events",9,High
"St. Paul",MN,"Minnesota","Saint Paul Regional Water Services",162,"Hard",aging,high,8,"humid continental","galvanized steel and cast iron in historic neighborhoods, copper in mid-century builds","1900s–1950s in historic Summit Avenue and West Side, 1960s–1980s in outer districts","Metropolitan Council Environmental Services — separate sanitary sewer in most areas, aging combined sewer in the oldest downtown core","glacial till and lacustrine clay — ground frost penetrates 48–60 inches in polar vortex winters, identical to Minneapolis","frozen and burst pipes during extended polar vortex events and galvanized supply line corrosion in pre-1950 Summit Avenue area housing",9,High
"Boston",MA,"Massachusetts","Massachusetts Water Resources Authority (MWRA)",8,"Soft",aging,high,26,"humid continental","lead and galvanized steel in pre-1900 rowhouses, copper in mid-century builds","1800s–1930s in Back Bay and Beacon Hill, 1940s–1970s in outer neighborhoods","MWRA — combined sewer in oldest neighborhoods, separated in newer areas","glacial till and coastal fill — frost penetrates 36–48 inches in severe winters","frozen pipes in uninsulated Victorian-era basements and corroded galvanized supply lines",7,Elevated
"Washington DC",DC,"District of Columbia","DC Water",118,"Moderately Hard",aging,high,30,"humid subtropical","lead service lines still present in pre-1950 homes, cast iron and galvanized in rowhouse stock","1880s–1940s in Georgetown and Capitol Hill, 1950s–1980s in outer neighborhoods","DC Water — Blue Plains Advanced Wastewater Treatment Plant serves the entire district","Piedmont clay and coastal plain sediments — moderate frost penetration","failing clay sewer laterals and lead/galvanized service line replacement in pre-1950 rowhouse neighborhoods",8,High
"Miami",FL,"Florida","Miami-Dade Water and Sewer Department",138,"Hard",mixed,low,68,"tropical monsoon","galvanized steel and copper in pre-1960 homes, PVC and CPVC in post-1970 construction","1920s–1960s in Coral Gables and Coconut Grove, 1970s–2000s in newer areas","Miami-Dade Water and Sewer — separate system, aging infrastructure in coastal areas","coastal sandy limestone and fill — high water table, salt intrusion in coastal zones","coastal salt air corrosion on copper lines and hard water scale accumulation",6,Elevated
"Orlando",FL,"Florida","Orlando Utilities Commission (OUC)",135,"Hard",mixed,low,62,"humid subtropical","copper in older areas, PVC and PEX dominant in post-2000 construction","1960s–1990s in established neighborhoods, 2000s–2020s in fast-growth suburbs","Orlando Utilities Commission — separate sanitary system, relatively modern infrastructure","sandy soil with high water table — poor pipe bedding support, shifting during heavy rain","hard water scale accumulation and slab leaks from sandy soil settlement",6,Elevated
"Anaheim",CA,"California","Anaheim Public Utilities",285,"Very Hard",mixed,low,56,"Mediterranean","copper in older areas, PEX and CPVC dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in Anaheim Hills expansion","Orange County Sanitation District — regional system","expansive clay and alluvial fill — causes foundation movement in saturated conditions","hard water scale blockages and slab leaks from expansive soil",7,Elevated
"Santa Ana",CA,"California","Orange County Water District (served through Santa Ana)",290,"Very Hard",aging,low,56,"Mediterranean","galvanized and copper in pre-1960 homes, CPVC and PVC in post-1970 construction","1920s–1950s in historic downtown, 1960s–1990s in residential neighborhoods","Orange County Sanitation District — separated system with ongoing infrastructure upgrades","expansive clay and alluvial fill — significant soil movement in saturated conditions","hard water scale blockages and corroded galvanized supply lines in older homes",8,High
"Riverside",CA,"California","Western Municipal Water District",194,"Very Hard",mixed,low,53,"Mediterranean","copper in older areas, CPVC and PEX dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in eastside expansion","Western Municipal Water District — separated system, relatively modern infrastructure","alluvial sandy loam and clay — variable compaction, significant settlement in fill areas","extreme hard water scale and slab leaks from alluvial soil settlement",7,Elevated
"Bakersfield",CA,"California","California Water Service Company",92,"Moderately Hard",mixed,low,46,"hot semi-arid","copper in older areas, CPVC and PEX dominant in post-1990 construction","1950s–1980s in established neighborhoods, 1990s–2020s in northwest expansion","City of Bakersfield Wastewater — separated system, aging infrastructure in older areas","San Joaquin Valley alluvial clay and hardpan — significant shrink-swell during drought","moderately hard water scale accumulation and CPVC heat degradation",5,Moderate
"Stockton",CA,"California","California Water Service Company",265,"Very Hard",mixed,low,45,"Mediterranean","galvanized and copper in pre-1960 homes, PVC and PEX in post-1980 construction","1940s–1970s in central Stockton, 1980s–2020s in north and south expansion","City of Stockton Municipal Utilities — separate system, older infrastructure in downtown","San Joaquin Delta peat and alluvial clay — high water table, significant settlement","hard water scale and corroded galvanized supply lines in older neighborhoods",7,Elevated
"Newark",NJ,"New Jersey","Newark Water Department",85,"Moderately Hard",aging,high,28,"humid subtropical","lead and galvanized in pre-1950 homes, copper in mid-century builds","1900s–1940s in Ironbound and Forest Hill, 1950s–1980s in Weequahic and Vailsburg","Passaic Valley Sewerage Commission — combined sewer overflow system","glacial till and clay — frost penetrates 24–30 inches, variable compaction in filled areas","lead service line replacement and frozen pipes in uninsulated brick rowhouses",8,High
"Buffalo",NY,"New York","Buffalo Water Board",115,"Moderately Hard",aging,high,18,"humid continental","galvanized steel and cast iron in pre-1960 homes, copper in mid-century builds","1900s–1940s in Elmwood and Allentown, 1950s–1980s in North and South Buffalo","Buffalo Sewer Authority — combined sewer with $500 million consent decree remediation","glacial lake clay and till — frost penetrates 42–48 inches, high moisture retention","frozen and burst pipes during extreme winter cold snaps and corroded galvanized supply lines",8,High
